week,day,title,reference,summary,studyNotes,devotional,questions
1,1,Creation,Gen 1:1–2:3,"Genesis 1 establishes God as the source, sustainer, and ultimate end of all things. As creator of all, God is King and has the right to do whatever he pleases with what he created for his own glory. Everything God made was perfect and good, but God created humankind as the pinnacle of all that he made, and thus as ruler of all under his supreme authority. Thus we are blessed with the privilege of cultivating and enjoying what God created, serving him in the capacity for which he created us, to his honor and glory.","Chapter 1, Verse 1. This verse describes part of what God did on the first day; he created the heavens and earth on the first day, but they were yet formless (v. 2). Verse 3. Light. God created light also on the first day, even though he didn’t create the physical sources of light until the fourth day. God was and is the eternal source of light. Verse 4. Good. The word “good” can mean several different things. Here it does not likely refer to moral goodness but rather to ability to serve a particular function, or it could also mean beauty. Verse 5. Day. In Hebrew, “day” with a number (as in “first day,” “second day,” etc.) always refers to a literal 24-hour period. God created the world in a literal six-day week. Verses 11, 12, 21. Kind. God created all plants and animal species, showing that the theory that various creatures evolved across species lines in incorrect. Verses 26, 27. Image. Adam and Eve were the only creatures God made in his own image, distinguishing them from all other creatures. The image of God includes self-consciousness, creativity, morality, and other communicable attributes of God that animals do not share with humans. Dominion. Since humans were the pinnacle of all of God’s creation, he set them as rulers of the rest of creation. Male and female. Man and woman are equal in essence and value but distinct from and complementary to one another physically and relationally. Verse 28. Be fruitful and multiply. God blessed Adam and Eve by giving them the ability to fill the earth with offspring, to cultivate and enjoy what he had made, and to rule over it all. Chapter 2, Verse 2. Rested. God had no need of physical rest, yet he ceased from his creative work on the seventh day and established a seven-day cycle for human work, including the necessity for one day of rest each week.","To understand God’s big story, we begin at the beginning. This isn’t, of course, the beginning of God, for he has no beginning and no end. This is simply where our Creator chose to begin telling us the story. The story begins with the simple declaration that God is the Creator. 

Notice the glory of creation. God creates light. He creates the skies. He creates the oceans. He creates the plants. He creates the animals. And he creates humanity. He creates with great variety but with great order, as he gives form and filling to what was once formless and void. We rightly praise God for he has created all things well. But if God displays this much glory in creation, how much greater is the glory of our salvation? 

Notice the climax of creation. On the final day of creation as a final act of creation, God created humanity. He created our first father and mother, Adam and Eve, in his image.  Therefore, every person ever born has been made in the image of God. We are not little gods as some teach, but we are like God. We have the ability to think and reason and create and love in a way that is unlike any animal or other part of creation. God created the gift of gender—male and female—which desperately needs to be recovered in our day. The image of God is certainly distorted and deformed in us today because of sin, but it is not destroyed.

Notice the word of creation. Did you catch how many times the Bible tells us “God said”? God speaks and creation is formed. God speaks and creation obeys. God creates and orders by the power of his words. We see this in the beginning of the story, but we also see this throughout God’s story. God orders his people according to his word. We will see this in the lives of Abraham, Moses, and David. We see this in our own lives as well, do we not? Just like in creation, we as new creations in Christ are ordered and shaped by his word.

As we begin a new journey through Scripture with a renewed commitment to knowing God through his word, let us continue to marvel at his creation. Let us praise him for his kindness to us in making us in his image. Let us pray that the Spirit of God—the same Spirit that hovered over the waters and brought order to the chaos—will continue to conform us to the image of the Son of God and continue to order the chaos of our lives.","1. Why do you think God created the world in the order that he did? 2. What is our responsibility toward God as his creation? 3. What does it mean to have dominion over the earth, to subdue the earth, and to be fruitful?"
1,2,Adam and Eve,Gen 2:4–24,"God created a perfect, holy sanctuary in which he placed Adam, his priest whose purpose was to commune with God and obey his commands. He created Eve to complete Adam and assist him with his duties. These purposes and roles never changed. The purpose of all people is to worship God according to the commands that he has given in his sanctuary where he dwells.","Chapter 2, Verse 7. Formed. This is a more detailed, specific account of God’s creation of Adam and Even on day six of creation. Unlike the other elements of creation, which God created out of nothing, he formed Adam from the earth, and thus when we die, we return to dust. However, he breathed into Adam the breath of life, and thus our souls live forever. Verse 8. Eden. The location of the garden of Eden is not known, but it was likely in the Mesopotamian Valley, east of where Moses wrote this account. Verse 9. Tree of life. This tree had a special ability to sustain eternal life. Tree of knowledge. This tree, forbidden for Adam and Eve to eat, was put in the garden as a test of whether they would choose good or evil. Verse 15. Work it and keep it. This describes Adam’s purpose. These two terms used together in the Old Testament most often refer to the duties of the Levitical priests in the Tabernacle/Temple. Adam’s purpose was to serve as God’s priest, communing with God in his holy sanctuary. Verse 17. Die. The result of disobedience to God’s command was separation, first spiritually, and eventually physically. Verse 18. Not good. Adam was incomplete before the end of the sixth day until God created Eve, who as created from Adam and also in God’s image was equal with him in essence and worth, was distinct physically from Adam and was a suitable helper for him. Verse 24. One flesh. The fact that Eve was created from out of Adam establishes the basis for marital union.","Genesis 1 gives us a wide-angle panoramic view of creation. Genesis 2 zooms in on a particular part of creation: humankind. From this vantage point on day six of creation, we are given more information about the creation of the first man. We noticed in chapter one how God spoke everything into existence. He created everything out of nothing. But when we come to the creation of man, God did not merely speak Adam into existence. He formed Adam using dust as the material or chief ingredient in his human recipe. After planting Adam in the garden of Eden, God gives Adam work to do—keep and tend the garden. These two words are later used together to refer to the work of priests. So, not only do we see the special care God took in making Adam, but we’re also given the image of Adam as the first priest, worshipping and communing with God in the sanctuary of Eden. Adam is given clear instructions about how God is to be worshipped, with a blessing to eat from every tree except one—the tree of the knowledge of good and evil. All the way back at the beginning of the story, we’re introduced to the ideas that God cares about how he is worshiped and that his word is sufficient for us to know how to worship him.

In spite of the blessings and privileges Adam has while alone in the garden, he is incomplete. God helps Adam see how incomplete he is by parading every living creature in front of him for Adam to name. Every creature has its mate, a helper fit for it. Except Adam. Adam has no complementary partner in the same way that the lion has the lioness and the bull has the cow. Adam realizes what so many want to deny today: it is not good for man to be alone. With God as the first surgeon and Adam the first patient, man’s rib is removed for the building of woman. She is bone of his bone and flesh of his flesh. She is like him. Now Adam too has a helper fit for him. As Adam sees his bride for the first time, he bursts out in a love song recognizing the good gift God has given in marriage. In verse 24, Moses reflected back on this first union of man and woman as the reason all marriages are to be between one man and one woman, exclusive, and permanent. Identity, work, marriage, and worship—all of these foundational components of our lives are built upon the foundation of Genesis 1–2. ",1. Why do you think God created Adam from the dust of the earth instead of out of nothing? 2. Why do you think God created Eve out of Adam? 3. What does it mean for us today that Adam and Eve were created to worship and obey God?
1,3,Fall,Gen 2:25–3:24,"God created Adam and Eve in order to commune with them in his sanctuary, but their disobedience broke that communion. Thus God cursed them, their posterity, and all of creation. But God did not leave us in our sin; he made a promise that he would one day crush the head of the serpent, representing sin, through an offspring of Eve—his only Son. He foreshadowed how this would take place when he killed an animal and covered their guilt with its skin. Sin breaks communion with God, but through the substitutionary atonement of the Son of God, restored fellowship is possible!","Chapter 2, Verse 25. This verse describes the state of untested, innocent holiness in which Adam and Eve were created. Chapter 3, Verse 1. Serpent. John identifies the serpent as Satan (Rev 12:9, 20:2). He tempts Eve to disobey God by questioning God’s motives and authority, which is always the essence of temptation. Verse 4. Her husband. While Eve was deceived into sinning, Adam ate of the fruit willfully. Verse 7. The innocence that characterized Adam and Eve when they were created is now replaced by guilt and shame. Verse 8. Walking. God’s desire was to commune with his people in his sanctuary, but sin prevents free communion with God. Verse 9. Where are you? This does not mean God didn’t know where they were; it was simply a way to force them to explain why they were hiding from him and acknowledge their guilt. Verse 15. This is the first proclamation of God’s plan to send his Son to redeem mankind from their sin. Verse 17. Cursed. Because of Adam’s sin, all of mankind and all of creation fell under God’s just curse. Verse 21. Clothed. This is a foreshadowing of the atonement (“covering”) for sin through the sacrificial death of a substitute that is necessary to restore broken communion with God.","All of the problems you face find their origins back in Genesis 3. Ultimately all the problems the human family faces goes back to our father and mother, Adam and Eve. Verse 25 of chapter two gives us the last family snapshot of innocence and holiness before God. Things quickly change with the introduction of Satan, the serpent of old. We’re not told where Satan came from, but the first action we see from Satan is to question the Word of God. Thousands of years later and that hasn’t changed. The Devil’s standard mode of operation is to cast doubt and questions upon the Word of God. He deliberately misquotes and twists God’s Word to Eve, and he will often do that to you. Are you prepared? Do you know God’s Word well enough to recognize misrepresentations, distortions, and almost–right interpretations?

Watch the progress in the temptation of our mother Eve: she saw, she desired, she took, and she ate. We see this progress of sin in our own lives so often. What will be the consequences of this sin? God had promised Adam and Eve that disobedience deserves death, and their spiritual death certainly began that day. But God graciously postponed physical death while still describing the consequences of their sin. Marriage will be marred from the design of the Creator. Husbands will too often dominate their wives rather than lovingly lead them. Wives will be tempted to rule over and dominate their husbands rather than lovingly submitting to them. Childbearing, the expression of the one–flesh union between a husband and a wife, will now be increasingly painful. Work, which was  given as a good gift, will now be difficult and painful. What was a very good beginning in chapters one and two is now horribly corrupted in chapter three. Is there any hope? 

In verse 15 of chapter three comes a shining promise of hope. Speaking to the serpent, God promises there will be an ongoing war between the offspring of the serpent and the offspring of the woman. That war will climax with what seems like a death blow by the serpent against the seed of the woman. But the Promised Seed Jesus Christ will crush the head of the serpent. He will defeat sin, death, and Satan, and we get a preview in verse 21. God takes an innocent animal and it dies in the place of Adam and Eve. The robes of this animal become the robes of humanity, just as Jesus’s sacrifice on the cross will cover our shame and nakedness from sin and clothe us in the righteousness of Christ. The good news is first proclaimed from the garden.",1. Do you notice any similarities between Satan’s temptation of Eve and his later temptation of Jesus in the wilderness (Matt 4:1–11)? 2. What consequences do we still experience today as a result of Adam’s sin? 3. How did God fulfill his promise made in Genesis 3:15?
1,4,Cain and Abel,Gen 4:1–16; Prov 1,"Knowledge of God alone is not sufficient for wise living that pleases him. Cain knew God and even spoke with him, but his self-interest and pride prevented him from obeying God and instead led him into horrendous sin. On the other hand, it is a proper fear of God that will lead us, like Abel, to reverence God and obey his clear instructions out of a true desire for fellowship with him. This is true wisdom.","Genesis 4, Verse 4. Although the account here does not explicitly explain why God accepted Abel’s offering and not Cain’s, the New Testament seems to indicate that both inward heart motivation (Abel was “righteous,” while Cain was “evil”) as well as the sacrifices themselves (Abel’s sacrifice was “more excellent” than Cain’s) are in view (see John 3:12, Heb 11:4, and Jude 11). God cares about both the heart of the worshiper and that the worshiper presents what is excellent in obedience to God’s clear commands. Verse 14. Whoever. Eve must have birthed many children and enough time must have passed for the population of the earth to have increased considerably by this point. Verse 15. Mark. While not clear what this mark was exactly, it must have been some sort of visible sign and warning that no one was to harm Cain in any way. This was an act of mercy by God in spite of Cain’s sin. Proverbs 1, Verse 1. Proverbs are short statements of wisdom. They are not necessary legal guarantees; rather, they are general principles that typically ring true. Verse 2. Wisdom. Wisdom is not simply intellectual knowledge, but rather the ability to skillfully apply what one knows practically in life. Verse 7. Fear. A proper imagination of God and reverence toward him precedes a right understanding of him. It is not enough to simply know who God is; a wise person has the appropriate heart affections toward him. Fool. A fool in Scripture is an unbeliever.","Eve believed the promises of God. She knew God had promised that one of her offspring would crush the head of the serpent and all the evil that resulted from sin. Eve naturally assumed her first child Cain would be the promised seed, so she praised God at his birth in verse 1. The family multiplies and it quickly becomes apparent that the struggle between the seed of the serpent and the seed of the woman will be on display within Eve’s own family. We may wonder at first about the difference between Cain’s offering and Abel’s offering. We might think the difference is in the content of the offering, but the biggest difference seems to be in the character of the one making the offering. Cain is marked by anger and pride. However, Abel’s more acceptable sacrifice results from his righteousness in faith (Heb. 11:4). 

Cain certainly deserves death for his sin, yet God is exceedingly patient. He is patient in questioning and he is patient in judgment. Even the unclear “mark of Cain” is a sign of God’s mercy in sovereignly protecting Cain’s life while he deserves death. God is graciously patient with us. He graciously gives us the story of Cain and Abel to serve as a warning to us. Cain’s sin quickly multiplied. Quickly progressing from an angry heart to murder, Cain pictures for us Jesus’s teaching that out of the abundance of the heart, the mouth speaks. In Cain’s case, from the abundance of his heart, his hands murdered. The sins we think we are hiding in our hearts so that no one sees or knows about them are actually crouching at the door like Cain’s sins. Our sins will soon multiply and devour us. May the story of Cain remind us to cry out to God for mercy in leading us not into temptation and delivering us from the evil one. 

Our journey through the big story of the Bible also takes us through a complete reading of Psalms and Proverbs.  The Proverbs were given to nurture wisdom in us, to take Biblical knowledge and apply it to our daily lives. Proverbs are not personalized contracts guaranteeing the desired result, but they are general principles for godly living. The starting point of knowledge is fearing the Lord. Someone has simply explained fearing God as treating God as if he really were God. If we say we believe biblical truth about God, we should live our lives as if we actually believe these things are true. Cain knew about God and spoke to God, but did not truly know God because he did not fear him. He did not live as if God’s word is true. May that never be said of us.","1. What clear instructions about worship has God given us in Scripture that should regulate how we approach him? 2. Why is knowledge of God alone insufficient for a life pleasing to God? 3. How can we resist temptation to sin, either from within our hearts or from others?"
1,5,Noah and the Flood,Gen 6:1–8:19,"Sin deserves judgement. But God, who is rich in mercy, chooses to save those who trust in his promises and come to him in faith through the means that he has provided.","Chapter 6, Verse 2. Sons of God. To whom this description refers is not clear; some believe it refers to angels, others think that it describes powerful human kings. Regardless, the point of these verses is to describe the increasing corruption on earth that leads to judgment. Verse 4. Nephilim. The meaning of this term is also uncertain. It could refer to fallen angels or mighty, violent giants. Again, however, the primary emphasis is to describe the violence and injustice that characterized mankind at the time. Verse 6. Regretted. This term describes the deep sorrow of God in response to the sinfulness of his creatures, not that it surprised him in any way. Verse 19. Two of every sort. The ark had more than enough space to house two of each species of animal on earth, even by generous estimates. Chapter 7, Verse 11. The water that covered the earth came from three sources: the “fountains of the great deep,” the water canopy encircling the earth (the “windows of the heavens”; see 1:7), and the rain that fell over a period of forty days.","Today’s reading contains one of the most familiar Bible stories known throughout the world. Yet, it is often misunderstood. The text begins with hard-to-understand and controversial verses. Who are the “sons of God” and “the Nephilim”? We cannot say with certainty. Whatever is happening in verses 6:1–8, the text clearly presents the wickedness on earth at that time. The sin was so wicked and severe that God is said to be filled with sorrow and grief over the sins of his people. God is not surprised by the sin of humanity. This is not new information to him. Yet, God speaks to us in language we can relate to, so the Bible says God regretted that he made humanity. His position towards his creation is changing from one of patience and mercy to one of well–deserved judgment. There’s one bright spot in this dark sea of people: Noah. Noah is known as a righteous and blameless man. He is not perfect and he has not saved himself. Instead, God’s grace or favor rests upon Noah, and Noah’s daily life—his “walk”—reflects the grace of God in his life. Noah patiently obeys God’s instructions by faith. 

Noah’s ark paints us a vivid picture of God’s salvation through Jesus Christ. Just as salvation through Christ alone is exclusive, so is salvation through the ark. All those who are in Christ will live eternally, while those apart from Christ will face judgment eternally. Those eight people inside the ark lived while everyone outside the ark died. This pictures the truly exclusive claims of Jesus Christ as Lord. You are either in Christ or you are not. The flood is but one image the Bible offers to show us the wrath and judgment that will come upon all sin and sinners. The wrath we deserve is far greater than a worldwide flood. Have you entered the ark of Christ, dear reader? There you will be saved.

Chapter 8 begins with an interesting phrase: “God remembered Noah.” God had not forgotten Noah, even though Noah may have felt forgotten. God was with Noah throughout every raindrop of the storm. But now because of the covenant (the promise) that God made with Noah, God is about to act on Noah’s behalf. We, too, stand upon the promises of God through Christ. Jesus has satisfied the flood of God’s wrath upon the cross. Jesus has brought all who believe in Christ into full covenant with God—we have his promises to us in the Scriptures. Because of the ark of Christ, we can rest assured that God has not forgotten us, and he remembers us. ",1. What is the main lesson from the story of Noah and the flood? 2. What does sin deserve? 3. What is necessary to be rescued from judgment?
2,6,God Establishes Human Government,Gen 8:20–9:29; 11:1–9,"God intended human government to be the means through which he would rule the common kingdom of the world. God intended human government to enforce his moral laws, protect the innocent, and punish evil. However, although human government was created by God, it regularly seeks to establish humanity as autonomous and self-sufficient. Thus God divided the people through confusing their languages, creating multiple people groups with their own governments.","Chapter 9, Verse 9. Covenant. God made this covenant not only with his people, but with “every living creature.” This passage (8:20–9:17) is the establishment of God’s common kingdom by which he rules over the earth through the means of human government, including the death penalty in cases of murder (9:6) based on the fact that people are created in the image of God. Chapter 11, Verse 4. Top in the heavens. God established human government as the means through which he rules his common kingdom, but very quickly government was corrupted as a means to establish human autonomy and rebellion against God. Verse 5. Came down. This is an ironic statement made by the narrator. The people wanted to build a high tower to heaven, but even then God, who is always high above all, had to “come down” to see what they had made. Verse 9. Babel . . . confused. The Hebrew word translated “confused” is Balel, which sounds like the name of the city. Later this very city would be called Babylon (see Rev 17–18), the epitome of a worldly city.","What would you have done when you got off of the ark? After more than a year of living on a boat, the first thing we’re told that Noah does is worship God. This is the right response, of course. Our first response to God’s salvation should always be to worship him. 
Noah and his family are now a second chance for the human family. God blesses them in a similar way to how he blessed Adam and Eve. Noah and his sons are told to be fruitful and multiply and fill the earth. God flooded the earth because of human sinfulness and violence, but now he institutes human government to serve as his human agents in punishing those who take human life. While we do not practice capital punishment perfectly, God has given humanity this responsibility. God also promises to never destroy the earth by flood again, and he gives the rainbow as a sign of this promise. In our culture today, many sinful groups seem to want ownership of the rainbow, but we need to be reminded of the salvation story God pictures through the ark and the flood. God has given us the rainbow as a reminder.

If we’re hoping that this fresh start for the human family is going to go better than it did in the garden, we soon realize that it’s not looking good. Noah gets drunk and his son Ham adds to the family shame. We fast forward through the expanding family tree in Genesis 10 and we get to the infamous tower of Babel at the beginning of chapter eleven. The prideful, sinful human heart is at work again. God had told everyone to fill the earth, but the generation of Babel decided to stay put in one place. Just in case we’re not sure about their rebellion, they tell us at the end of 11:4 that they do not want to fill the earth as God had instructed them. Instead, they decide to build a city with a monument to their rebellion. They proudly declare they will build a tower that will reach all the way to heaven, but he who sits in the heavens laughs. As high as they think they are, God must come down from his throne to see their feeble work. And he divides the people and confuses the languages and scatters them over the face of the earth. God’s will will be done. 

God will soon tell Abram that God will make a great name for him. But this generation wanted to make a name for themselves. Let us resist the pride so common to us all. Let us trust him to make a name for us as he sees fit.",1. What did God intend for the purpose of human government? 2. Why was it wrong for the people to build the Tower of Babel? 3. Where did the different nations of the world come from?
2,7,The Call of Abram,Gen 11:26–12:20,"God’s covenant with Abram has ramifications for his offspring to this day, the promise having yet to be fulfilled. Yet the promise to bless all the nations of the world through Abram has and is being fulfilled through Jesus Christ, Abraham’s seed, who offers salvation to all who believe in him.","Chapter 12, Verse 1. This is the initial introduction to the Abrahamic covenant, an everlasting, unilateral covenant God makes with Abram. Verse 7. Land. Part of God’s covenant with Abram is that his offspring would inherit the land of Canaan, a promise still yet to be completely fulfilled. Altar. Abraham worships in response to God’s self-revelation and covenant.","We first meet Abram with his family in a prosperous, large ancient city called Ur. God makes an astounding demand upon the life of Abram: leave everything behind and go where I tell you. When God tells Abram to leave behind everything he’s ever known, God doesn’t tell him where he will end up. Abram must walk by faith, and indeed he does. It has always stood out to me that we’re only told that Abram obeyed. He doesn’t go back home and discuss it with his father or his wife. He doesn’t check his bank account. He doesn’t check the weather, and he doesn’t check the housing market. This seventy-five year old man immediately obeys God. We will often see that Abram’s faith is not flawless and his obedience is not perfect. All that being said, Abram believes God. And he obeys.

God promises to make Abram into a great nation with great blessing and his name will be great. From this man Abram, all the nations of the earth will be blessed! What an amazing thought. As Abram journeys on with his Sarai and his nephew Lot, they arrive at the land of Canaan. God makes another promise to Abram: “To your seed I will give this land.” But how will this be? There are other people already there! Again, Abram isn’t given the full plan. He’s simply given the word of God, and Abram believes and Abram worships God. 

Abram is walking in sincere but imperfect faith. When Abram and Sarai go to Egypt, this man cowardly lies about his wife in order to save his own skin. Yet, even this story illustrates the principle God gave: “I will bless those who bless you, and the one who curses you I will curse.” Do you see how the blessing of God is not rooted in the goodness of the person but in the goodness of God? Thanks be to God.

So far in the story, everyone has failed. Adam failed. Noah failed. We have high hopes for this man Abram, but we see that he too fails. Our hope is not in any human man or woman. They all fail. Except one. Even now, we’re looking for the promised seed of Genesis 3:15. So far, no one fits the bill, but the options are narrowing in. We’re looking for the seed of Abram, for through Abram will all the nations of the earth be blessed. We know through the New Testament that the promised seed of Abraham is Jesus. In Jesus, all the nations of the earth are blessed. Salvation comes through the seed of Abraham. Praise be to God! ","1. If God promised that Abram’s descendants would inherit the land of Canaan forever, will he keep his promise? 2. What can Abram’s response to God’s covenant teach us about worship? 3. How have we non-Jews been blessed by the Abrahamic covenant?"
2,8,Lot,Gen 13:1–14:16,God reaffirmed his promise Abram after Lot chose the fertile land of the Jordan Valley. His defeat of Lot’s captors confirms that God will indeed bless Abram and his descendants.,"Chapter 13, Verse 14. God reaffirms his promise to Abram that his descendants would inherit the land of Canaan. Chapter 14, Verse 13. Hebrew. This is the first time this ethnic title is used. It means “descended from Eber” (see 11:15–17).","God has kept his word to bless Abram and we see that Abram is very rich. His nephew Lot has also become prosperous, so much so that the land can’t support both men and their herds. Reflecting Abram’s wisdom and character, he seeks a peaceful separation between the two groups and gives Lot the choice of land. Lot chooses the land that is well-watered and luxurious like the garden of Eden, but there’s already a hint in the text that this won’t go well. Lot is living near Sodom, where the people are exceedingly sinful against God. As you follow Lot’s story, he lives in the valley near the area of Sodom, then he pitches his tent near Sodom, then we find Lot actually living in Sodom in 14:12. Lot’s example serves as a warning to all of us. Sin so often pulls us closer and closer until, before we realize it, we are smack dab in the middle of sin city. 

When Lot finds himself a prisoner of war caught in the middle of the war described at the beginning of chapter fourteen, faithful Uncle Abram comes to the rescue. Somewhere along the way, Abram has become a skilled military leader and seems to have his own personal army. The various kings listed in the text and their warriors are no match for faithful Abram. After all, God has promised to bless Abram and those who bless Abram, while also promising to curse those who curse Abram. The other armies didn’t stand a chance!

It seems that much of Lot’s problems could have been avoided before he and Abram ever separated. Lot lifted his eyes and saw the well-water Jordan valley and it pleased him. Doesn’t that sound like Eve in the garden? Eve saw, she desired, she took, and she ate. The fruit didn’t fall far from the family tree. Whereas we see Abram calling upon the name of the Lord in this passage, we’re not told that Lot prayed to God at all. What seemed like an obvious decision when choosing the land eventually leads to great sin and sorrow in Lot’s life. May we learn the lesson of Lot.

Lot continues to separate himself from the blessing of his uncle Abram and the blessing of God. Abram, on the other hand, continues to be blessed by God. The promise of 12:1–3 is clarified and expanded here, with God promising that Abram’s offspring won’t be able to be counted. Abram is also told that the land in the region of Canaan would belong to him and his offspring forever. What is Abram’s response to the promises of God? Worship. May that be our response to God’s Word also.",1. What do you think motivated Lot to choose the land that he did? 2. What is revealed about Abram when he allows Lot to choose the land first? 3. What is revealed about Abram in his successful rescue of Lot?
2,9,Blessing and Promise,Gen 14:17–15:21; 16:1–16,"God will keep his promises, no matter how impossible they seem. Some of God’s promises are dependent upon how we act, but others are unilateral, meaning that God will keep them no matter what we do.","Chapter 14, Verse 18. Melchizedek. This mysterious priest-king over Jerusalem has no biography or genealogy, leading later biblical authors to use him as a type of Christ (see Ps 110:4; Heb 7:17, 21). Priest of God Most High. This phrase indicates that Melchizedek did not worship one of the Canaanite pagan gods; rather, he worshiped the true God, the same God that called Abram (see v. 22). Chapter 15, Verse 6. Believed. Abraham was justified, not by works, but by faith in the promises of God (see Rom 4:3, 9, 22; Gal 3:6; Jas 2:23). Verse 7. Land. God’s promise that Abram would inherit land is intricately tied with his covenant and confirmed in a formal ceremony (vv. 9–21). Verse 12. Sleep. God put Abram to sleep because the covenant did not require any action on Abram’s part; the covenant was completely unilateral—God would fulfill his promises regardless of what Abram or his descendants did. Chapter 16, Verse 3. Hagar. It was a customary practice to marry a maidservant in the case of no male heir, but this demonstrated lack of faith in God’s promise. Verse 7. Angel of the Lord. This individual appears many times in the Old Testament and is often identified as the reincarnate Christ, one who is in some way both distinct from and identified with Yahweh. Verse 12. Against. Ishmael’s descendants are modern-day Arabs.","The blessings of God continue to be poured out on Abram, even through a mysterious king named Melchizedek. The name means “king of righteousness” and he is identified as both a king of Salem (apparently an ancient name for Jerusalem) and a priest of God Most High. Psalm 110 and Hebrews 7 pick up on this image of Melchizedek in pointing to Christ. After Melchizedek blesses Abram, Abram tithes to this mysterious king. In contrast, Abram wants nothing to do with the wicked king of Sodom. He rejects the reward of this earthly king, but God promises in 15:1 that Abram’s reward will indeed be great.

In 15:2–5, Abram offers questions to God. How can the promises of God come true when Abram has no offspring? Perhaps Abram should designate his closest servant as his heir? God promises explicitly that Abram will indeed have a son, his own biological heir. God’s promise to Abram concerning his offspring expands from them being as numerous as the grains of sand on the seashore to now being as numerous as the stars in the sky. As astounding as those words are, don’t miss verse 6: Abram believed God and it was counted to him as righteousness! The Bible uses a bookkeeping term, meaning Abraham’s spiritual books balanced. How can this be? Here we have the heart of our salvation: justification by faith alone. 

To be justified is to be declared righteous by God. Abram is not justified by his works. We will see Abram do righteous acts, but those do not save him. God declares Abram to be righteous—justified—because of Abram’s faith in the promises of God. The New Testament quotes this verse four times and points to Abram as a model for our salvation. As we trust the promises of God—namely by trusting in the death and resurrection of Jesus Christ as the atonement for our sins—God credits the righteousness of Jesus to us just like he did for Abram.

Chapter sixteen finds Sarai attempting to seize the promises of God by human planning. She is convinced she will never have children, therefore she gives Abram permission to take Sarai’s servant Hagar and conceive a child with her. Just as Adam listened to the voice of Eve and followed her into sin, Abram listens to the voice of Sarai rather than God. In spite of their sin, God hears Hagar’s affliction and blesses her son Ishmael (“God hears”), even though he will not be the promised heir of Abraham. God sees and hears and is merciful to sinners like Abram, Hagar, you, and me.","1. How can you be sure God will keep his promises? 2. Why is it important to believe the promises of God, no matter how impossible they seem? 3. What promises has God made to you?"
2,10,The Birth of Isaac,Gen 18:1–15; 21:1–7,"God can do anything, and we should trust that when he says he will do something, he will.","Chapter 18, Verse 3. Lord. Abraham recognized one of the three men as the true God. Chapter 21, Verse 1. Visited. This conception and birth was clearly a miracle of God. Verse 4, Circumcised. Cutting away the male foreskin was what God had commanded of Abraham’s descendants as a sign of the covenant (see 17:11).","Thirteen years have passed since the birth of Ishmael when Yahweh appears to Abram once again. As we’ve seen before, God clarifies and expounds the covenant with Abram. In recognition that he will father many nations, God gives Abram (meaning “exalted father”)  the new name of Abraham (“father of a multitude”). Yahweh also gives Abraham the physical sign of circumcision to accompany the covenant. Abraham’s wife Sarai’s name is also modified to Sarah because she will be the mother of many nations. The Lord promises that Abraham and Sarah will conceive and have a son, even in their advanced age. While Abraham’s human logic pleads that the blessings of God might come through Ishmael, Yahweh makes plain that the heir of Abraham will be Isaac. 

The hospitality of Abraham in Genesis 18:1–15 is a strong contrast with the wickedness of Sodom in chapter nineteen. Abraham is still living in a tent in Mamre and recognizes these unusually important visitors approaching during the heat of the day. A man of Abraham’s wealth and status would never run in that culture and time, but Abraham runs to greet and bow before these visitors. Abraham and Sarah show hospitality to their guests, but they also receive notice that their promised son Isaac will be born within a year. Just as Abraham laughed when he heard this promise of God, so too does Sarah laugh. While the promises of God may sometimes seem impossible, is there anything impossible for God?

We fast forward in the story, and we find that Yahweh perfectly keeps his word. Nothing is impossible for God. Abraham and Sarah obey concerning the name of their son, and they obey concerning the sign of the covenant. The name Isaac means “he laughs” and reflects the circumstances of his birth. His parents laughed at the possibility of a child in their old age, and Sarah knows that everyone will laugh at the unlikely birth of this son. A few years pass by to a feast day celebrating Isaac’s weaning, and the text tells us that Sarah finds Hagar’s son Ishmael laughing, too. However, this laughter is no longer marked by joy and wonder at the promises of God, and instead Ishmael seems to be laughing in scorn and mockery towards Isaac. Paul uses this story as a backdrop in Galatians 4 for his comparison of the Old and New Covenants.

Many times throughout Scripture the promises of God seem too good to be true. They sometimes seem impossible to believe. Are there any portions of God’s word that you struggle to believe? Are there promises that seem too good to be true? May the birth of Isaac remind us that nothing is impossible for God.",1. Are there any promises God has made to you that seem impossible? 2. Why do you think God makes promises to us that seem impossible? 3. What can you do to be sure that you trust in God’s promises no matter what?
